Detected GPU: Radeon 8060S Graphics -> peak BF16 FLOPS: 1.4e+14
Vocab size: 311
Model config: {'sequence_len': 2048, 'vocab_size': 311, 'n_layer': 12, 'n_head': 9, 'n_kv_head': 9, 'n_embd': 576, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 179,136
  value_embeds            : 1,074,816
  lm_head                 : 179,136
  transformer_matrices    : 47,777,472
  scalars                 : 24
  total                   : 49,210,584
Estimated FLOPs per token: 3.939080e+08
Scaling AdamW LRs by 1/sqrt(576/768) = 1.154701
ROCm detected: torch.compile disabled (enable with PyTorch 2.9+ on ROCm)
Time budget: 3600s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 5.741235 | lrm: 1.00 | dt: 4911ms | tok/sec: 26,691 | mfu: 7.5% | epoch: 1 | remaining: 3600s    
step 00001 (0.0%) | loss: 6.205927 | lrm: 1.00 | dt: 4894ms | tok/sec: 26,782 | mfu: 7.6% | epoch: 1 | remaining: 3600s    
step 00002 (0.0%) | loss: 5.581963 | lrm: 1.00 | dt: 4964ms | tok/sec: 26,405 | mfu: 7.5% | epoch: 1 | remaining: 3600s    
step 00003 (0.0%) | loss: 4.872230 | lrm: 1.00 | dt: 4966ms | tok/sec: 26,391 | mfu: 7.5% | epoch: 1 | remaining: 3600s    
step 00004 (0.0%) | loss: 4.390814 | lrm: 1.00 | dt: 4967ms | tok/sec: 26,388 | mfu: 7.5% | epoch: 1 | remaining: 3600s    
step 00005 (0.0%) | loss: 4.054839 | lrm: 1.00 | dt: 4972ms | tok/sec: 26,359 | mfu: 7.5% | epoch: 1 | remaining: 3600s    
step 00006 (0.0%) | loss: 3.822780 | lrm: 1.00 | dt: 4971ms | tok/sec: 26,367 | mfu: 7.5% | epoch: 1 | remaining: 3600s    
step 00007 (0.0%) | loss: 3.654162 | lrm: 1.00 | dt: 4968ms | tok/sec: 26,383 | mfu: 7.5% | epoch: 1 | remaining: 3600s    
step 00008 (0.0%) | loss: 3.514246 | lrm: 1.00 | dt: 4973ms | tok/sec: 26,354 | mfu: 7.5% | epoch: 1 | remaining: 3600s    
step 00009 (0.0%) | loss: 3.381420 | lrm: 1.00 | dt: 4978ms | tok/sec: 26,332 | mfu: 7.4% | epoch: 1 | remaining: 3600s    
step 00010 (0.0%) | loss: 3.311764 | lrm: 1.00 | dt: 4983ms | tok/sec: 26,306 | mfu: 7.4% | epoch: 1 | remaining: 3600s    
step 00011 (0.0%) | loss: 3.243389 | lrm: 1.00 | dt: 4989ms | tok/sec: 26,272 | mfu: 7.4% | epoch: 1 | remaining: 3595s    
step 00012 (0.1%) | loss: 3.179795 | lrm: 1.00 | dt: 4990ms | tok/sec: 26,267 | mfu: 7.4% | epoch: 1 | remaining: 3590s    
step 00013 (0.3%) | loss: 3.102501 | lrm: 1.00 | dt: 4987ms | tok/sec: 26,281 | mfu: 7.4% | epoch: 1 | remaining: 3585s    
step 00014 (0.4%) | loss: 3.061073 | lrm: 1.00 | dt: 4988ms | tok/sec: 26,276 | mfu: 7.4% | epoch: 1 | remaining: 3580s    
step 00015 (0.6%) | loss: 3.040639 | lrm: 1.00 | dt: 4991ms | tok/sec: 26,259 | mfu: 7.4% | epoch: 1 | remaining: 3575s    
step 00016 (0.7%) | loss: 2.989160 | lrm: 1.00 | dt: 4991ms | tok/sec: 26,263 | mfu: 7.4% | epoch: 1 | remaining: 3570s    
step 00017 (0.8%) | loss: 2.946600 | lrm: 1.00 | dt: 4998ms | tok/sec: 26,227 | mfu: 7.4% | epoch: 1 | remaining: 3565s    
step 00018 (1.0%) | loss: 2.903735 | lrm: 1.00 | dt: 4994ms | tok/sec: 26,247 | mfu: 7.4% | epoch: 2 | remaining: 3560s    
step 00019 (1.1%) | loss: 2.858364 | lrm: 1.00 | dt: 4995ms | tok/sec: 26,240 | mfu: 7.4% | epoch: 2 | remaining: 3555s    
step 00020 (1.2%) | loss: 2.810031 | lrm: 1.00 | dt: 4993ms | tok/sec: 26,250 | mfu: 7.4% | epoch: 2 | remaining: 3550s    
step 00021 (1.4%) | loss: 2.755953 | lrm: 1.00 | dt: 5001ms | tok/sec: 26,210 | mfu: 7.4% | epoch: 2 | remaining: 3545s    
step 00022 (1.5%) | loss: 2.706901 | lrm: 1.00 | dt: 5001ms | tok/sec: 26,209 | mfu: 7.4% | epoch: 2 | remaining: 3540s    
step 00023 (1.7%) | loss: 2.654974 | lrm: 1.00 | dt: 4999ms | tok/sec: 26,217 | mfu: 7.4% | epoch: 2 | remaining: 3535s    
step 00024 (1.8%) | loss: 2.608331 | lrm: 1.00 | dt: 5000ms | tok/sec: 26,216 | mfu: 7.4% | epoch: 2 | remaining: 3530s    
step 00025 (1.9%) | loss: 2.561308 | lrm: 1.00 | dt: 5001ms | tok/sec: 26,206 | mfu: 7.4% | epoch: 2 | remaining: 3525s    
step 00026 (2.1%) | loss: 2.515284 | lrm: 1.00 | dt: 4998ms | tok/sec: 26,224 | mfu: 7.4% | epoch: 2 | remaining: 3520s    
step 00027 (2.2%) | loss: 2.467385 | lrm: 1.00 | dt: 5003ms | tok/sec: 26,200 | mfu: 7.4% | epoch: 2 | remaining: 3515s    
step 00028 (2.4%) | loss: 2.422037 | lrm: 1.00 | dt: 5003ms | tok/sec: 26,201 | mfu: 7.4% | epoch: 2 | remaining: 3510s    
step 00029 (2.5%) | loss: 2.375735 | lrm: 1.00 | dt: 5001ms | tok/sec: 26,209 | mfu: 7.4% | epoch: 2 | remaining: 3505s    
step 00030 (2.6%) | loss: 2.332471 | lrm: 1.00 | dt: 5002ms | tok/sec: 26,202 | mfu: 7.4% | epoch: 2 | remaining: 3500s    
step 00031 (2.8%) | loss: 2.297768 | lrm: 1.00 | dt: 5002ms | tok/sec: 26,203 | mfu: 7.4% | epoch: 2 | remaining: 3495s    
step 00032 (2.9%) | loss: 2.252723 | lrm: 1.00 | dt: 5007ms | tok/sec: 26,178 | mfu: 7.4% | epoch: 2 | remaining: 3490s    
step 00033 (3.1%) | loss: 2.214390 | lrm: 1.00 | dt: 5002ms | tok/sec: 26,206 | mfu: 7.4% | epoch: 2 | remaining: 3485s    
step 00034 (3.2%) | loss: 2.188443 | lrm: 1.00 | dt: 5001ms | tok/sec: 26,209 | mfu: 7.4% | epoch: 2 | remaining: 3480s    
step 00035 (3.3%) | loss: 2.155227 | lrm: 1.00 | dt: 5006ms | tok/sec: 26,181 | mfu: 7.4% | epoch: 2 | remaining: 3475s    
