Detected GPU: Radeon 8060S Graphics -> peak BF16 FLOPS: 1.4e+14
Vocab size: 341
Model config: {'sequence_len': 2048, 'vocab_size': 341, 'n_layer': 8, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 384, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 130,944
  value_embeds            : 523,776
  lm_head                 : 130,944
  transformer_matrices    : 14,156,544
  scalars                 : 16
  total                   : 14,942,224
Estimated FLOPs per token: 1.329108e+08
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
ROCm detected: torch.compile disabled (enable with PyTorch 2.9+ on ROCm)
Time budget: 3600s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 5.832342 | lrm: 1.00 | dt: 1130ms | tok/sec: 57,970 | mfu: 5.5% | epoch: 1 | remaining: 3600s    
step 00001 (0.0%) | loss: 6.162698 | lrm: 1.00 | dt: 1050ms | tok/sec: 62,413 | mfu: 6.0% | epoch: 1 | remaining: 3600s    
step 00002 (0.0%) | loss: 5.607717 | lrm: 1.00 | dt: 1042ms | tok/sec: 62,871 | mfu: 6.0% | epoch: 1 | remaining: 3600s    
step 00003 (0.0%) | loss: 4.973770 | lrm: 1.00 | dt: 1041ms | tok/sec: 62,933 | mfu: 6.0% | epoch: 1 | remaining: 3600s    
step 00004 (0.0%) | loss: 4.507493 | lrm: 1.00 | dt: 1046ms | tok/sec: 62,645 | mfu: 6.0% | epoch: 1 | remaining: 3600s    
step 00005 (0.0%) | loss: 4.164863 | lrm: 1.00 | dt: 1044ms | tok/sec: 62,763 | mfu: 6.0% | epoch: 1 | remaining: 3600s    
step 00006 (0.0%) | loss: 4.012963 | lrm: 1.00 | dt: 1043ms | tok/sec: 62,842 | mfu: 6.0% | epoch: 1 | remaining: 3600s    
step 00007 (0.0%) | loss: 3.753751 | lrm: 1.00 | dt: 1040ms | tok/sec: 63,027 | mfu: 6.0% | epoch: 1 | remaining: 3600s    
step 00008 (0.0%) | loss: 3.477452 | lrm: 1.00 | dt: 1053ms | tok/sec: 62,245 | mfu: 5.9% | epoch: 1 | remaining: 3600s    
step 00009 (0.0%) | loss: 3.281945 | lrm: 1.00 | dt: 1061ms | tok/sec: 61,778 | mfu: 5.9% | epoch: 1 | remaining: 3600s    
step 00010 (0.0%) | loss: 3.076693 | lrm: 1.00 | dt: 1057ms | tok/sec: 61,983 | mfu: 5.9% | epoch: 1 | remaining: 3600s    
step 00011 (0.0%) | loss: 2.891715 | lrm: 1.00 | dt: 1057ms | tok/sec: 62,014 | mfu: 5.9% | epoch: 1 | remaining: 3599s    
step 00012 (0.0%) | loss: 2.771806 | lrm: 1.00 | dt: 1059ms | tok/sec: 61,899 | mfu: 5.9% | epoch: 1 | remaining: 3598s    
step 00013 (0.1%) | loss: 2.635273 | lrm: 1.00 | dt: 1060ms | tok/sec: 61,805 | mfu: 5.9% | epoch: 1 | remaining: 3597s    
step 00014 (0.1%) | loss: 2.519248 | lrm: 1.00 | dt: 1063ms | tok/sec: 61,627 | mfu: 5.9% | epoch: 1 | remaining: 3596s    
step 00015 (0.1%) | loss: 2.453756 | lrm: 1.00 | dt: 1059ms | tok/sec: 61,868 | mfu: 5.9% | epoch: 1 | remaining: 3595s    
step 00016 (0.1%) | loss: 2.430166 | lrm: 1.00 | dt: 1063ms | tok/sec: 61,660 | mfu: 5.9% | epoch: 1 | remaining: 3594s    
step 00017 (0.2%) | loss: 2.399212 | lrm: 1.00 | dt: 1060ms | tok/sec: 61,803 | mfu: 5.9% | epoch: 1 | remaining: 3593s    
step 00018 (0.2%) | loss: 2.376710 | lrm: 1.00 | dt: 1064ms | tok/sec: 61,568 | mfu: 5.9% | epoch: 1 | remaining: 3592s    
step 00019 (0.2%) | loss: 2.328133 | lrm: 1.00 | dt: 1062ms | tok/sec: 61,683 | mfu: 5.9% | epoch: 1 | remaining: 3590s    
step 00020 (0.3%) | loss: 2.495316 | lrm: 1.00 | dt: 1063ms | tok/sec: 61,670 | mfu: 5.9% | epoch: 1 | remaining: 3589s    
step 00021 (0.3%) | loss: 2.588085 | lrm: 1.00 | dt: 1061ms | tok/sec: 61,784 | mfu: 5.9% | epoch: 1 | remaining: 3588s    
step 00022 (0.3%) | loss: 2.622913 | lrm: 1.00 | dt: 1062ms | tok/sec: 61,699 | mfu: 5.9% | epoch: 1 | remaining: 3587s    
step 00023 (0.4%) | loss: 2.602447 | lrm: 1.00 | dt: 1065ms | tok/sec: 61,543 | mfu: 5.9% | epoch: 1 | remaining: 3586s    
step 00024 (0.4%) | loss: 2.565753 | lrm: 1.00 | dt: 1062ms | tok/sec: 61,722 | mfu: 5.9% | epoch: 1 | remaining: 3585s    
step 00025 (0.4%) | loss: 2.486045 | lrm: 1.00 | dt: 1061ms | tok/sec: 61,743 | mfu: 5.9% | epoch: 1 | remaining: 3584s    
step 00026 (0.4%) | loss: 2.462680 | lrm: 1.00 | dt: 1062ms | tok/sec: 61,713 | mfu: 5.9% | epoch: 1 | remaining: 3583s    
step 00027 (0.5%) | loss: 2.399163 | lrm: 1.00 | dt: 1062ms | tok/sec: 61,724 | mfu: 5.9% | epoch: 1 | remaining: 3582s    
step 00028 (0.5%) | loss: 2.352408 | lrm: 1.00 | dt: 1064ms | tok/sec: 61,568 | mfu: 5.9% | epoch: 1 | remaining: 3581s    
step 00029 (0.5%) | loss: 2.368660 | lrm: 1.00 | dt: 1060ms | tok/sec: 61,826 | mfu: 5.9% | epoch: 1 | remaining: 3580s    
step 00030 (0.6%) | loss: 2.299160 | lrm: 1.00 | dt: 1065ms | tok/sec: 61,527 | mfu: 5.9% | epoch: 1 | remaining: 3579s    
step 00031 (0.6%) | loss: 2.247539 | lrm: 1.00 | dt: 1061ms | tok/sec: 61,760 | mfu: 5.9% | epoch: 1 | remaining: 3578s    
step 00032 (0.6%) | loss: 2.193395 | lrm: 1.00 | dt: 1062ms | tok/sec: 61,709 | mfu: 5.9% | epoch: 1 | remaining: 3577s    
step 00033 (0.6%) | loss: 2.130891 | lrm: 1.00 | dt: 1064ms | tok/sec: 61,571 | mfu: 5.9% | epoch: 1 | remaining: 3576s    
step 00034 (0.7%) | loss: 2.079765 | lrm: 1.00 | dt: 1063ms | tok/sec: 61,629 | mfu: 5.9% | epoch: 1 | remaining: 3575s    
step 00035 (0.7%) | loss: 2.015551 | lrm: 1.00 | dt: 1064ms | tok/sec: 61,617 | mfu: 5.9% | epoch: 1 | remaining: 3573s    
step 00036 (0.7%) | loss: 1.985559 | lrm: 1.00 | dt: 1066ms | tok/sec: 61,466 | mfu: 5.9% | epoch: 1 | remaining: 3572s    
step 00037 (0.8%) | loss: 1.955507 | lrm: 1.00 | dt: 1064ms | tok/sec: 61,570 | mfu: 5.9% | epoch: 1 | remaining: 3571s    
step 00038 (0.8%) | loss: 1.901614 | lrm: 1.00 | dt: 1066ms | tok/sec: 61,449 | mfu: 5.9% | epoch: 1 | remaining: 3570s    
step 00039 (0.8%) | loss: 1.933544 | lrm: 1.00 | dt: 1062ms | tok/sec: 61,706 | mfu: 5.9% | epoch: 1 | remaining: 3569s    
step 00040 (0.9%) | loss: 1.911298 | lrm: 1.00 | dt: 1064ms | tok/sec: 61,601 | mfu: 5.9% | epoch: 1 | remaining: 3568s    
step 00041 (0.9%) | loss: 1.857361 | lrm: 1.00 | dt: 1063ms | tok/sec: 61,634 | mfu: 5.9% | epoch: 1 | remaining: 3567s    
