Logging to /home/jonathan/Documents/projects/autoresearch/runs/run_005/run.log
Initial config written to /home/jonathan/Documents/projects/autoresearch/runs/run_005/config.json
Detected GPU: Radeon 8060S Graphics -> peak BF16 FLOPS: 1.4e+14
Vocab size: 341
Model config: {'sequence_len': 2048, 'vocab_size': 341, 'n_layer': 12, 'n_head': 9, 'n_kv_head': 9, 'n_embd': 576, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 196,416
  value_embeds            : 1,178,496
  lm_head                 : 196,416
  transformer_matrices    : 47,777,472
  scalars                 : 24
  total                   : 49,348,824
Estimated FLOPs per token: 3.940116e+08
Scaling AdamW LRs by 1/sqrt(576/768) = 1.154701
torch.compile: disabled on ROCm
Loading checkpoint from /home/jonathan/Documents/projects/autoresearch/runs/run_004/checkpoint.pt...
  Resumed model (no optimizer state) from step 494, val_bpb=1.020696292366523
Time budget: 3600s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 0.739183 | lrm: 1.00 | dt: 7281ms | tok/sec: 27,002 | mfu: 7.6% | epoch: 1 | remaining: 3600s    
step 00001 (0.0%) | loss: 0.927667 | lrm: 1.00 | dt: 7360ms | tok/sec: 26,711 | mfu: 7.6% | epoch: 1 | remaining: 3600s    
step 00002 (0.0%) | loss: 0.858901 | lrm: 1.00 | dt: 7391ms | tok/sec: 26,599 | mfu: 7.5% | epoch: 1 | remaining: 3600s    
step 00003 (0.0%) | loss: 0.807313 | lrm: 1.00 | dt: 7402ms | tok/sec: 26,559 | mfu: 7.5% | epoch: 1 | remaining: 3600s    
step 00004 (0.0%) | loss: 0.758942 | lrm: 1.00 | dt: 7401ms | tok/sec: 26,563 | mfu: 7.5% | epoch: 1 | remaining: 3600s    
step 00005 (0.0%) | loss: 0.720445 | lrm: 1.00 | dt: 7419ms | tok/sec: 26,501 | mfu: 7.5% | epoch: 1 | remaining: 3600s    
step 00006 (0.0%) | loss: 0.685158 | lrm: 1.00 | dt: 7418ms | tok/sec: 26,505 | mfu: 7.5% | epoch: 1 | remaining: 3600s    
step 00007 (0.0%) | loss: 0.700777 | lrm: 1.00 | dt: 7414ms | tok/sec: 26,519 | mfu: 7.5% | epoch: 1 | remaining: 3600s    
step 00008 (0.0%) | loss: 0.774407 | lrm: 1.00 | dt: 7423ms | tok/sec: 26,486 | mfu: 7.5% | epoch: 1 | remaining: 3600s    
step 00009 (0.0%) | loss: 0.826283 | lrm: 1.00 | dt: 7421ms | tok/sec: 26,493 | mfu: 7.5% | epoch: 1 | remaining: 3600s    
step 00010 (0.0%) | loss: 0.817409 | lrm: 1.00 | dt: 7445ms | tok/sec: 26,406 | mfu: 7.5% | epoch: 1 | remaining: 3600s    
step 00011 (0.0%) | loss: 0.798238 | lrm: 1.00 | dt: 7446ms | tok/sec: 26,405 | mfu: 7.5% | epoch: 1 | remaining: 3593s    
step 00012 (0.2%) | loss: 0.790477 | lrm: 1.00 | dt: 7447ms | tok/sec: 26,402 | mfu: 7.5% | epoch: 1 | remaining: 3585s    
step 00013 (0.4%) | loss: 0.767804 | lrm: 1.00 | dt: 7444ms | tok/sec: 26,412 | mfu: 7.5% | epoch: 1 | remaining: 3578s    
step 00014 (0.6%) | loss: 0.756894 | lrm: 1.00 | dt: 7456ms | tok/sec: 26,367 | mfu: 7.5% | epoch: 1 | remaining: 3570s    
step 00015 (0.8%) | loss: 0.735916 | lrm: 1.00 | dt: 7453ms | tok/sec: 26,381 | mfu: 7.5% | epoch: 1 | remaining: 3563s    
step 00016 (1.0%) | loss: 0.736977 | lrm: 1.00 | dt: 7452ms | tok/sec: 26,384 | mfu: 7.5% | epoch: 1 | remaining: 3555s    
step 00017 (1.2%) | loss: 0.740237 | lrm: 1.00 | dt: 7449ms | tok/sec: 26,393 | mfu: 7.5% | epoch: 1 | remaining: 3548s    
step 00018 (1.4%) | loss: 0.719929 | lrm: 1.00 | dt: 7450ms | tok/sec: 26,389 | mfu: 7.5% | epoch: 1 | remaining: 3540s    
step 00019 (1.7%) | loss: 0.726082 | lrm: 1.00 | dt: 7454ms | tok/sec: 26,374 | mfu: 7.5% | epoch: 1 | remaining: 3533s    
step 00020 (1.9%) | loss: 0.716241 | lrm: 1.00 | dt: 7447ms | tok/sec: 26,402 | mfu: 7.5% | epoch: 1 | remaining: 3526s    
step 00021 (2.1%) | loss: 0.705000 | lrm: 1.00 | dt: 7448ms | tok/sec: 26,398 | mfu: 7.5% | epoch: 1 | remaining: 3518s    
step 00022 (2.3%) | loss: 0.716785 | lrm: 1.00 | dt: 7448ms | tok/sec: 26,398 | mfu: 7.5% | epoch: 1 | remaining: 3511s    
step 00023 (2.5%) | loss: 0.694194 | lrm: 1.00 | dt: 7446ms | tok/sec: 26,404 | mfu: 7.5% | epoch: 1 | remaining: 3503s    
step 00024 (2.7%) | loss: 0.699825 | lrm: 1.00 | dt: 7456ms | tok/sec: 26,370 | mfu: 7.5% | epoch: 1 | remaining: 3496s    
step 00025 (2.9%) | loss: 0.701537 | lrm: 1.00 | dt: 7447ms | tok/sec: 26,399 | mfu: 7.5% | epoch: 1 | remaining: 3488s    
step 00026 (3.1%) | loss: 0.684042 | lrm: 1.00 | dt: 7452ms | tok/sec: 26,382 | mfu: 7.5% | epoch: 1 | remaining: 3481s    
step 00027 (3.3%) | loss: 0.677843 | lrm: 1.00 | dt: 7450ms | tok/sec: 26,389 | mfu: 7.5% | epoch: 1 | remaining: 3473s    
step 00028 (3.5%) | loss: 0.662670 | lrm: 1.00 | dt: 7451ms | tok/sec: 26,385 | mfu: 7.5% | epoch: 1 | remaining: 3466s    
step 00029 (3.7%) | loss: 0.685620 | lrm: 1.00 | dt: 7453ms | tok/sec: 26,381 | mfu: 7.5% | epoch: 1 | remaining: 3458s    
step 00030 (3.9%) | loss: 0.717717 | lrm: 1.00 | dt: 7454ms | tok/sec: 26,376 | mfu: 7.5% | epoch: 1 | remaining: 3451s    
step 00031 (4.1%) | loss: 0.737146 | lrm: 1.00 | dt: 7455ms | tok/sec: 26,371 | mfu: 7.5% | epoch: 1 | remaining: 3444s    
step 00032 (4.3%) | loss: 0.730114 | lrm: 1.00 | dt: 7450ms | tok/sec: 26,388 | mfu: 7.5% | epoch: 1 | remaining: 3436s    
step 00033 (4.6%) | loss: 0.727301 | lrm: 1.00 | dt: 7456ms | tok/sec: 26,367 | mfu: 7.5% | epoch: 1 | remaining: 3429s    
step 00034 (4.8%) | loss: 0.737348 | lrm: 1.00 | dt: 7457ms | tok/sec: 26,364 | mfu: 7.5% | epoch: 1 | remaining: 3421s    
step 00035 (5.0%) | loss: 0.741617 | lrm: 1.00 | dt: 7462ms | tok/sec: 26,346 | mfu: 7.5% | epoch: 1 | remaining: 3414s    
step 00036 (5.2%) | loss: 0.737498 | lrm: 1.00 | dt: 7454ms | tok/sec: 26,376 | mfu: 7.5% | epoch: 1 | remaining: 3406s    
step 00037 (5.4%) | loss: 0.725907 | lrm: 1.00 | dt: 7458ms | tok/sec: 26,361 | mfu: 7.5% | epoch: 1 | remaining: 3399s    
step 00038 (5.6%) | loss: 0.722330 | lrm: 1.00 | dt: 7459ms | tok/sec: 26,359 | mfu: 7.5% | epoch: 1 | remaining: 3391s    
step 00039 (5.8%) | loss: 0.727963 | lrm: 1.00 | dt: 7462ms | tok/sec: 26,347 | mfu: 7.5% | epoch: 1 | remaining: 3384s    
step 00040 (6.0%) | loss: 0.733171 | lrm: 1.00 | dt: 7466ms | tok/sec: 26,334 | mfu: 7.4% | epoch: 1 | remaining: 3376s    
step 00041 (6.2%) | loss: 0.725563 | lrm: 1.00 | dt: 7459ms | tok/sec: 26,358 | mfu: 7.5% | epoch: 1 | remaining: 3369s    
step 00042 (6.4%) | loss: 0.706956 | lrm: 1.00 | dt: 7458ms | tok/sec: 26,360 | mfu: 7.5% | epoch: 1 | remaining: 3361s    
step 00043 (6.6%) | loss: 0.683047 | lrm: 1.00 | dt: 7455ms | tok/sec: 26,374 | mfu: 7.5% | epoch: 1 | remaining: 3354s    
step 00044 (6.8%) | loss: 0.665478 | lrm: 1.00 | dt: 7462ms | tok/sec: 26,346 | mfu: 7.5% | epoch: 1 | remaining: 3347s    
