Logging to /home/jonathan/Documents/projects/autoresearch/runs/run_008/run.log
Initial config written to /home/jonathan/Documents/projects/autoresearch/runs/run_008/config.json
Detected GPU: Radeon 8060S Graphics -> peak BF16 FLOPS: 1.4e+14
Vocab size: 341
Model config: {'sequence_len': 2048, 'vocab_size': 341, 'n_layer': 12, 'n_head': 9, 'n_kv_head': 9, 'n_embd': 576, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 196,416
  value_embeds            : 1,178,496
  lm_head                 : 196,416
  transformer_matrices    : 47,777,472
  scalars                 : 24
  total                   : 49,348,824
Estimated FLOPs per token: 3.940116e+08
Scaling AdamW LRs by 1/sqrt(576/768) = 1.154701
ROCm: patched InductorBenchmarker (ZeroDivisionError fix)
torch.compile: enabled
Loading checkpoint from /home/jonathan/Documents/projects/autoresearch/runs/run_006/checkpoint.pt...
  Resumed model + optimizer from step 1446, val_bpb=0.7836468122943754
Time budget: 7200s
Gradient accumulation steps: 1

step 01446 (0.0%) | loss: 0.053637 | lrm: 1.00 | dt: 380230ms | tok/sec: 344 | mfu: 0.1% | epoch: 1 | remaining: 6820s    
step 01447 (5.3%) | loss: 0.110293 | lrm: 1.00 | dt: 3208ms | tok/sec: 40,854 | mfu: 11.6% | epoch: 1 | remaining: 6817s    
step 01448 (5.3%) | loss: 0.147658 | lrm: 1.00 | dt: 3194ms | tok/sec: 41,035 | mfu: 11.6% | epoch: 1 | remaining: 6813s    
step 01449 (5.4%) | loss: 0.180453 | lrm: 1.00 | dt: 3196ms | tok/sec: 41,013 | mfu: 11.6% | epoch: 1 | remaining: 6810s    
step 01450 (5.4%) | loss: 0.203196 | lrm: 1.00 | dt: 3200ms | tok/sec: 40,963 | mfu: 11.6% | epoch: 1 | remaining: 6807s    
step 01451 (5.5%) | loss: 0.240315 | lrm: 1.00 | dt: 3195ms | tok/sec: 41,020 | mfu: 11.6% | epoch: 1 | remaining: 6804s    
step 01452 (5.5%) | loss: 0.259399 | lrm: 1.00 | dt: 3195ms | tok/sec: 41,025 | mfu: 11.6% | epoch: 1 | remaining: 6801s    
step 01453 (5.5%) | loss: 0.297132 | lrm: 1.00 | dt: 3194ms | tok/sec: 41,033 | mfu: 11.6% | epoch: 1 | remaining: 6797s    
step 01454 (5.6%) | loss: 0.309170 | lrm: 1.00 | dt: 3194ms | tok/sec: 41,041 | mfu: 11.6% | epoch: 1 | remaining: 6794s    
step 01455 (5.6%) | loss: 0.319749 | lrm: 1.00 | dt: 3195ms | tok/sec: 41,025 | mfu: 11.6% | epoch: 1 | remaining: 6791s    
step 01456 (5.7%) | loss: 0.345205 | lrm: 1.00 | dt: 3196ms | tok/sec: 41,012 | mfu: 11.6% | epoch: 1 | remaining: 6788s    
step 01457 (5.7%) | loss: 0.370639 | lrm: 1.00 | dt: 3195ms | tok/sec: 41,025 | mfu: 11.6% | epoch: 1 | remaining: 6785s    
step 01458 (5.8%) | loss: 0.372696 | lrm: 1.00 | dt: 3202ms | tok/sec: 40,937 | mfu: 11.6% | epoch: 1 | remaining: 6781s    
step 01459 (5.8%) | loss: 0.382364 | lrm: 1.00 | dt: 3193ms | tok/sec: 41,048 | mfu: 11.6% | epoch: 1 | remaining: 6778s    
step 01460 (5.9%) | loss: 0.403246 | lrm: 1.00 | dt: 3190ms | tok/sec: 41,086 | mfu: 11.6% | epoch: 1 | remaining: 6775s    
step 01461 (5.9%) | loss: 0.423464 | lrm: 1.00 | dt: 3191ms | tok/sec: 41,071 | mfu: 11.6% | epoch: 1 | remaining: 6772s    
step 01462 (5.9%) | loss: 0.450247 | lrm: 1.00 | dt: 3196ms | tok/sec: 41,007 | mfu: 11.6% | epoch: 1 | remaining: 6769s    
step 01463 (6.0%) | loss: 0.458845 | lrm: 1.00 | dt: 3198ms | tok/sec: 40,990 | mfu: 11.6% | epoch: 1 | remaining: 6765s    
step 01464 (6.0%) | loss: 0.465449 | lrm: 1.00 | dt: 3188ms | tok/sec: 41,115 | mfu: 11.6% | epoch: 1 | remaining: 6762s    
step 01465 (6.1%) | loss: 0.463698 | lrm: 1.00 | dt: 3194ms | tok/sec: 41,039 | mfu: 11.6% | epoch: 1 | remaining: 6759s    
step 01466 (6.1%) | loss: 0.466260 | lrm: 1.00 | dt: 3195ms | tok/sec: 41,027 | mfu: 11.6% | epoch: 1 | remaining: 6756s    
step 01467 (6.2%) | loss: 0.470754 | lrm: 1.00 | dt: 3200ms | tok/sec: 40,964 | mfu: 11.6% | epoch: 1 | remaining: 6753s    
step 01468 (6.2%) | loss: 0.479333 | lrm: 1.00 | dt: 3198ms | tok/sec: 40,987 | mfu: 11.6% | epoch: 1 | remaining: 6749s    
step 01469 (6.3%) | loss: 0.484179 | lrm: 1.00 | dt: 3200ms | tok/sec: 40,953 | mfu: 11.6% | epoch: 1 | remaining: 6746s    
step 01470 (6.3%) | loss: 0.478199 | lrm: 1.00 | dt: 3193ms | tok/sec: 41,054 | mfu: 11.6% | epoch: 1 | remaining: 6743s    
step 01471 (6.3%) | loss: 0.478694 | lrm: 1.00 | dt: 3194ms | tok/sec: 41,039 | mfu: 11.6% | epoch: 1 | remaining: 6740s    
step 01472 (6.4%) | loss: 0.494527 | lrm: 1.00 | dt: 3192ms | tok/sec: 41,060 | mfu: 11.6% | epoch: 1 | remaining: 6737s    
step 01473 (6.4%) | loss: 0.497011 | lrm: 1.00 | dt: 3190ms | tok/sec: 41,091 | mfu: 11.6% | epoch: 1 | remaining: 6733s    
step 01474 (6.5%) | loss: 0.501738 | lrm: 1.00 | dt: 3193ms | tok/sec: 41,054 | mfu: 11.6% | epoch: 1 | remaining: 6730s    
step 01475 (6.5%) | loss: 0.512974 | lrm: 1.00 | dt: 3193ms | tok/sec: 41,051 | mfu: 11.6% | epoch: 1 | remaining: 6727s    
step 01476 (6.6%) | loss: 0.523145 | lrm: 1.00 | dt: 3193ms | tok/sec: 41,047 | mfu: 11.6% | epoch: 1 | remaining: 6724s    
step 01477 (6.6%) | loss: 0.517529 | lrm: 1.00 | dt: 3189ms | tok/sec: 41,106 | mfu: 11.6% | epoch: 1 | remaining: 6721s    
step 01478 (6.7%) | loss: 0.513962 | lrm: 1.00 | dt: 3195ms | tok/sec: 41,026 | mfu: 11.6% | epoch: 1 | remaining: 6718s    
step 01479 (6.7%) | loss: 0.517298 | lrm: 1.00 | dt: 3197ms | tok/sec: 40,994 | mfu: 11.6% | epoch: 1 | remaining: 6714s    
step 01480 (6.7%) | loss: 0.502995 | lrm: 1.00 | dt: 3202ms | tok/sec: 40,936 | mfu: 11.6% | epoch: 1 | remaining: 6711s    
step 01481 (6.8%) | loss: 0.494503 | lrm: 1.00 | dt: 3193ms | tok/sec: 41,056 | mfu: 11.6% | epoch: 1 | remaining: 6708s    
step 01482 (6.8%) | loss: 0.498734 | lrm: 1.00 | dt: 3194ms | tok/sec: 41,040 | mfu: 11.6% | epoch: 1 | remaining: 6705s    
step 01483 (6.9%) | loss: 0.485459 | lrm: 1.00 | dt: 3206ms | tok/sec: 40,879 | mfu: 11.6% | epoch: 1 | remaining: 6702s    
step 01484 (6.9%) | loss: 0.502259 | lrm: 1.00 | dt: 3200ms | tok/sec: 40,961 | mfu: 11.6% | epoch: 1 | remaining: 6698s    
step 01485 (7.0%) | loss: 0.507922 | lrm: 1.00 | dt: 3205ms | tok/sec: 40,895 | mfu: 11.6% | epoch: 1 | remaining: 6695s    
step 01486 (7.0%) | loss: 0.559615 | lrm: 1.00 | dt: 3202ms | tok/sec: 40,939 | mfu: 11.6% | epoch: 1 | remaining: 6692s    
step 01487 (7.1%) | loss: 0.568395 | lrm: 1.00 | dt: 3194ms | tok/sec: 41,031 | mfu: 11.6% | epoch: 1 | remaining: 6689s    
step 01488 (7.1%) | loss: 0.564091 | lrm: 1.00 | dt: 3196ms | tok/sec: 41,015 | mfu: 11.6% | epoch: 1 | remaining: 6686s    
step 01489 (7.1%) | loss: 0.565493 | lrm: 1.00 | dt: 3195ms | tok/sec: 41,018 | mfu: 11.6% | epoch: 1 | remaining: 6682s    
step 01490 (7.2%) | loss: 0.552122 | lrm: 1.00 | dt: 3200ms | tok/sec: 40,961 | mfu: 11.6% | epoch: 1 | remaining: 6679s    
step 01491 (7.2%) | loss: 0.565312 | lrm: 1.00 | dt: 3192ms | tok/sec: 41,065 | mfu: 11.6% | epoch: 1 | remaining: 6676s    
step 01492 (7.3%) | loss: 0.572110 | lrm: 1.00 | dt: 3201ms | tok/sec: 40,946 | mfu: 11.6% | epoch: 1 | remaining: 6673s    
step 01493 (7.3%) | loss: 0.566838 | lrm: 1.00 | dt: 3192ms | tok/sec: 41,061 | mfu: 11.6% | epoch: 1 | remaining: 6670s    
