Logging to /home/jonathan/Documents/projects/autoresearch/runs/run_010/run.log
Initial config written to /home/jonathan/Documents/projects/autoresearch/runs/run_010/config.json
Detected GPU: Radeon 8060S Graphics -> peak BF16 FLOPS: 1.4e+14
Vocab size: 341
Model config: {'sequence_len': 2048, 'vocab_size': 341, 'n_layer': 12, 'n_head': 9, 'n_kv_head': 9, 'n_embd': 576, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 196,416
  value_embeds            : 1,178,496
  lm_head                 : 196,416
  transformer_matrices    : 47,777,472
  scalars                 : 24
  total                   : 49,348,824
Estimated FLOPs per token: 3.940116e+08
Scaling AdamW LRs by 1/sqrt(576/768) = 1.154701
ROCm: patched InductorBenchmarker (ZeroDivisionError fix)
torch.compile: enabled
Loading checkpoint from /home/jonathan/Documents/projects/autoresearch/runs/run_008/checkpoint.pt...
  Resumed model + optimizer from step 3573, val_bpb=0.7481193737891134
  Resuming with 7201s already trained, 7200s new budget
Time budget: 14401.393909692764s
Gradient accumulation steps: 1

step 03573 (50.0%) | loss: 0.388917 | lrm: 1.00 | dt: 323513ms | tok/sec: 405 | mfu: 0.1% | epoch: 1 | remaining: 6876s    
step 03574 (52.3%) | loss: 0.400780 | lrm: 0.95 | dt: 3192ms | tok/sec: 41,067 | mfu: 11.6% | epoch: 1 | remaining: 6873s    
step 03575 (52.3%) | loss: 0.393499 | lrm: 0.95 | dt: 3191ms | tok/sec: 41,076 | mfu: 11.6% | epoch: 1 | remaining: 6870s    
step 03576 (52.3%) | loss: 0.393053 | lrm: 0.95 | dt: 3190ms | tok/sec: 41,088 | mfu: 11.6% | epoch: 1 | remaining: 6867s    
step 03577 (52.3%) | loss: 0.388047 | lrm: 0.95 | dt: 3199ms | tok/sec: 40,976 | mfu: 11.6% | epoch: 1 | remaining: 6864s    
step 03578 (52.3%) | loss: 0.396830 | lrm: 0.95 | dt: 3190ms | tok/sec: 41,090 | mfu: 11.6% | epoch: 1 | remaining: 6861s    
step 03579 (52.4%) | loss: 0.387555 | lrm: 0.95 | dt: 3195ms | tok/sec: 41,019 | mfu: 11.6% | epoch: 1 | remaining: 6857s    
step 03580 (52.4%) | loss: 0.399160 | lrm: 0.95 | dt: 3186ms | tok/sec: 41,142 | mfu: 11.6% | epoch: 1 | remaining: 6854s    
step 03581 (52.4%) | loss: 0.393017 | lrm: 0.95 | dt: 3191ms | tok/sec: 41,075 | mfu: 11.6% | epoch: 1 | remaining: 6851s    
step 03582 (52.4%) | loss: 0.386205 | lrm: 0.95 | dt: 3191ms | tok/sec: 41,077 | mfu: 11.6% | epoch: 1 | remaining: 6848s    
step 03583 (52.5%) | loss: 0.394148 | lrm: 0.95 | dt: 3190ms | tok/sec: 41,091 | mfu: 11.6% | epoch: 1 | remaining: 6845s    
step 03584 (52.5%) | loss: 0.398483 | lrm: 0.95 | dt: 3187ms | tok/sec: 41,133 | mfu: 11.6% | epoch: 1 | remaining: 6841s    
step 03585 (52.5%) | loss: 0.386607 | lrm: 0.95 | dt: 3197ms | tok/sec: 40,996 | mfu: 11.6% | epoch: 1 | remaining: 6838s    
step 03586 (52.5%) | loss: 0.386549 | lrm: 0.95 | dt: 3189ms | tok/sec: 41,106 | mfu: 11.6% | epoch: 1 | remaining: 6835s    
step 03587 (52.5%) | loss: 0.395098 | lrm: 0.95 | dt: 3188ms | tok/sec: 41,118 | mfu: 11.6% | epoch: 1 | remaining: 6832s    
step 03588 (52.6%) | loss: 0.408959 | lrm: 0.95 | dt: 3183ms | tok/sec: 41,172 | mfu: 11.6% | epoch: 1 | remaining: 6829s    
step 03589 (52.6%) | loss: 0.428205 | lrm: 0.95 | dt: 3195ms | tok/sec: 41,022 | mfu: 11.6% | epoch: 1 | remaining: 6825s    
step 03590 (52.6%) | loss: 0.428393 | lrm: 0.95 | dt: 3198ms | tok/sec: 40,980 | mfu: 11.6% | epoch: 1 | remaining: 6822s    
step 03591 (52.6%) | loss: 0.427458 | lrm: 0.95 | dt: 3187ms | tok/sec: 41,130 | mfu: 11.6% | epoch: 1 | remaining: 6819s    
step 03592 (52.7%) | loss: 0.416986 | lrm: 0.95 | dt: 3188ms | tok/sec: 41,114 | mfu: 11.6% | epoch: 1 | remaining: 6816s    
step 03593 (52.7%) | loss: 0.417057 | lrm: 0.95 | dt: 3199ms | tok/sec: 40,975 | mfu: 11.6% | epoch: 1 | remaining: 6813s    
step 03594 (52.7%) | loss: 0.414759 | lrm: 0.95 | dt: 3199ms | tok/sec: 40,967 | mfu: 11.6% | epoch: 1 | remaining: 6809s    
step 03595 (52.7%) | loss: 0.419361 | lrm: 0.95 | dt: 3192ms | tok/sec: 41,067 | mfu: 11.6% | epoch: 1 | remaining: 6806s    
step 03596 (52.7%) | loss: 0.419533 | lrm: 0.95 | dt: 3197ms | tok/sec: 40,996 | mfu: 11.6% | epoch: 1 | remaining: 6803s    
step 03597 (52.8%) | loss: 0.411421 | lrm: 0.94 | dt: 3191ms | tok/sec: 41,075 | mfu: 11.6% | epoch: 1 | remaining: 6800s    
step 03598 (52.8%) | loss: 0.409698 | lrm: 0.94 | dt: 3192ms | tok/sec: 41,064 | mfu: 11.6% | epoch: 1 | remaining: 6797s    
step 03599 (52.8%) | loss: 0.427115 | lrm: 0.94 | dt: 3188ms | tok/sec: 41,111 | mfu: 11.6% | epoch: 1 | remaining: 6794s    
step 03600 (52.8%) | loss: 0.428687 | lrm: 0.94 | dt: 3186ms | tok/sec: 41,133 | mfu: 11.6% | epoch: 1 | remaining: 6790s    
step 03601 (52.8%) | loss: 0.428012 | lrm: 0.94 | dt: 3194ms | tok/sec: 41,033 | mfu: 11.6% | epoch: 1 | remaining: 6787s    
step 03602 (52.9%) | loss: 0.435465 | lrm: 0.94 | dt: 3193ms | tok/sec: 41,045 | mfu: 11.6% | epoch: 1 | remaining: 6784s    
step 03603 (52.9%) | loss: 0.441401 | lrm: 0.94 | dt: 3196ms | tok/sec: 41,015 | mfu: 11.6% | epoch: 1 | remaining: 6781s    
step 03604 (52.9%) | loss: 0.435477 | lrm: 0.94 | dt: 3191ms | tok/sec: 41,069 | mfu: 11.6% | epoch: 1 | remaining: 6778s    
step 03605 (52.9%) | loss: 0.430464 | lrm: 0.94 | dt: 3194ms | tok/sec: 41,040 | mfu: 11.6% | epoch: 1 | remaining: 6774s    
step 03606 (53.0%) | loss: 0.435878 | lrm: 0.94 | dt: 3191ms | tok/sec: 41,070 | mfu: 11.6% | epoch: 1 | remaining: 6771s    
step 03607 (53.0%) | loss: 0.421585 | lrm: 0.94 | dt: 3196ms | tok/sec: 41,016 | mfu: 11.6% | epoch: 1 | remaining: 6768s    
step 03608 (53.0%) | loss: 0.413442 | lrm: 0.94 | dt: 3193ms | tok/sec: 41,044 | mfu: 11.6% | epoch: 1 | remaining: 6765s    
step 03609 (53.0%) | loss: 0.418810 | lrm: 0.94 | dt: 3190ms | tok/sec: 41,089 | mfu: 11.6% | epoch: 1 | remaining: 6762s    
step 03610 (53.0%) | loss: 0.408910 | lrm: 0.94 | dt: 3198ms | tok/sec: 40,981 | mfu: 11.6% | epoch: 1 | remaining: 6758s    
step 03611 (53.1%) | loss: 0.425003 | lrm: 0.94 | dt: 3194ms | tok/sec: 41,037 | mfu: 11.6% | epoch: 1 | remaining: 6755s    
step 03612 (53.1%) | loss: 0.431932 | lrm: 0.94 | dt: 3201ms | tok/sec: 40,948 | mfu: 11.6% | epoch: 1 | remaining: 6752s    
step 03613 (53.1%) | loss: 0.481307 | lrm: 0.94 | dt: 3198ms | tok/sec: 40,982 | mfu: 11.6% | epoch: 1 | remaining: 6749s    
step 03614 (53.1%) | loss: 0.488951 | lrm: 0.94 | dt: 3192ms | tok/sec: 41,065 | mfu: 11.6% | epoch: 1 | remaining: 6746s    
step 03615 (53.2%) | loss: 0.484856 | lrm: 0.94 | dt: 3191ms | tok/sec: 41,069 | mfu: 11.6% | epoch: 1 | remaining: 6742s    
step 03616 (53.2%) | loss: 0.486323 | lrm: 0.94 | dt: 3189ms | tok/sec: 41,096 | mfu: 11.6% | epoch: 1 | remaining: 6739s    
step 03617 (53.2%) | loss: 0.474282 | lrm: 0.94 | dt: 3193ms | tok/sec: 41,052 | mfu: 11.6% | epoch: 1 | remaining: 6736s    
step 03618 (53.2%) | loss: 0.488297 | lrm: 0.94 | dt: 3190ms | tok/sec: 41,091 | mfu: 11.6% | epoch: 1 | remaining: 6733s    
step 03619 (53.2%) | loss: 0.494258 | lrm: 0.94 | dt: 3194ms | tok/sec: 41,042 | mfu: 11.6% | epoch: 1 | remaining: 6730s    
step 03620 (53.3%) | loss: 0.489624 | lrm: 0.93 | dt: 3188ms | tok/sec: 41,115 | mfu: 11.6% | epoch: 1 | remaining: 6726s    
step 03621 (53.3%) | loss: 0.492588 | lrm: 0.93 | dt: 3195ms | tok/sec: 41,020 | mfu: 11.6% | epoch: 1 | remaining: 6723s    
step 03622 (53.3%) | loss: 0.492520 | lrm: 0.93 | dt: 3199ms | tok/sec: 40,977 | mfu: 11.6% | epoch: 1 | remaining: 6720s    
