Logging to /home/jonathan/Documents/projects/autoresearch/runs/run_022/run.log
Initial config written to /home/jonathan/Documents/projects/autoresearch/runs/run_022/config.json
Detected GPU: Radeon 8060S Graphics -> peak BF16 FLOPS: 1.4e+14
Vocab size: 402
Model config: {'sequence_len': 8192, 'vocab_size': 402, 'n_layer': 12, 'n_head': 9, 'n_kv_head': 9, 'n_embd': 576, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 231,552
  value_embeds            : 1,389,312
  lm_head                 : 231,552
  transformer_matrices    : 47,777,472
  scalars                 : 24
  total                   : 49,629,912
Estimated FLOPs per token: 7.127274e+08
Scaling AdamW LRs by 1/sqrt(576/768) = 1.154701
ROCm: patched InductorBenchmarker (ZeroDivisionError fix)
torch.compile: enabled
Time budget: 57600s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 5.995856 | lrm: 1.00 | dt: 7284ms | tok/sec: 17,993 | mfu: 9.2% | epoch: 1 | remaining: 57600s    
step 00001 (0.0%) | loss: 5.706109 | lrm: 1.00 | dt: 6447ms | tok/sec: 20,331 | mfu: 10.4% | epoch: 1 | remaining: 57600s    
step 00002 (0.0%) | loss: 5.004106 | lrm: 1.00 | dt: 6523ms | tok/sec: 20,092 | mfu: 10.3% | epoch: 1 | remaining: 57600s    
step 00003 (0.0%) | loss: 4.528490 | lrm: 1.00 | dt: 6509ms | tok/sec: 20,138 | mfu: 10.3% | epoch: 1 | remaining: 57600s    
step 00004 (0.0%) | loss: 4.191998 | lrm: 1.00 | dt: 6530ms | tok/sec: 20,070 | mfu: 10.3% | epoch: 1 | remaining: 57600s    
step 00005 (0.0%) | loss: 3.890610 | lrm: 1.00 | dt: 6513ms | tok/sec: 20,123 | mfu: 10.3% | epoch: 1 | remaining: 57600s    
step 00006 (0.0%) | loss: 3.792015 | lrm: 1.00 | dt: 6543ms | tok/sec: 20,033 | mfu: 10.2% | epoch: 1 | remaining: 57600s    
step 00007 (0.0%) | loss: 3.660264 | lrm: 1.00 | dt: 6530ms | tok/sec: 20,072 | mfu: 10.3% | epoch: 1 | remaining: 57600s    
step 00008 (0.0%) | loss: 3.527864 | lrm: 1.00 | dt: 6554ms | tok/sec: 19,999 | mfu: 10.2% | epoch: 1 | remaining: 57600s    
step 00009 (0.0%) | loss: 3.461339 | lrm: 1.00 | dt: 6544ms | tok/sec: 20,028 | mfu: 10.2% | epoch: 1 | remaining: 57600s    
step 00010 (0.0%) | loss: 3.375431 | lrm: 1.00 | dt: 6548ms | tok/sec: 20,017 | mfu: 10.2% | epoch: 1 | remaining: 57600s    
step 00011 (0.0%) | loss: 3.314101 | lrm: 1.00 | dt: 6558ms | tok/sec: 19,986 | mfu: 10.2% | epoch: 1 | remaining: 57593s    
step 00012 (0.0%) | loss: 3.245466 | lrm: 1.00 | dt: 6580ms | tok/sec: 19,920 | mfu: 10.2% | epoch: 1 | remaining: 57587s    
step 00013 (0.0%) | loss: 3.189693 | lrm: 1.00 | dt: 6557ms | tok/sec: 19,990 | mfu: 10.2% | epoch: 1 | remaining: 57580s    
step 00014 (0.0%) | loss: 3.131196 | lrm: 1.00 | dt: 6580ms | tok/sec: 19,919 | mfu: 10.2% | epoch: 1 | remaining: 57574s    
step 00015 (0.0%) | loss: 3.087185 | lrm: 1.00 | dt: 6575ms | tok/sec: 19,935 | mfu: 10.2% | epoch: 1 | remaining: 57567s    
step 00016 (0.1%) | loss: 3.018718 | lrm: 1.00 | dt: 6586ms | tok/sec: 19,901 | mfu: 10.2% | epoch: 1 | remaining: 57561s    
step 00017 (0.1%) | loss: 2.955253 | lrm: 1.00 | dt: 6574ms | tok/sec: 19,937 | mfu: 10.2% | epoch: 1 | remaining: 57554s    
step 00018 (0.1%) | loss: 2.892427 | lrm: 1.00 | dt: 6575ms | tok/sec: 19,934 | mfu: 10.2% | epoch: 1 | remaining: 57547s    
step 00019 (0.1%) | loss: 2.825630 | lrm: 1.00 | dt: 6579ms | tok/sec: 19,923 | mfu: 10.2% | epoch: 1 | remaining: 57541s    
step 00020 (0.1%) | loss: 2.782738 | lrm: 1.00 | dt: 6573ms | tok/sec: 19,940 | mfu: 10.2% | epoch: 1 | remaining: 57534s    
step 00021 (0.1%) | loss: 2.742016 | lrm: 1.00 | dt: 6576ms | tok/sec: 19,930 | mfu: 10.2% | epoch: 1 | remaining: 57528s    
step 00022 (0.1%) | loss: 2.693191 | lrm: 1.00 | dt: 6580ms | tok/sec: 19,919 | mfu: 10.2% | epoch: 1 | remaining: 57521s    
step 00023 (0.1%) | loss: 2.620867 | lrm: 1.00 | dt: 6579ms | tok/sec: 19,921 | mfu: 10.2% | epoch: 1 | remaining: 57515s    
step 00024 (0.1%) | loss: 2.556127 | lrm: 1.00 | dt: 6575ms | tok/sec: 19,934 | mfu: 10.2% | epoch: 1 | remaining: 57508s    
step 00025 (0.2%) | loss: 2.494532 | lrm: 1.00 | dt: 6583ms | tok/sec: 19,910 | mfu: 10.2% | epoch: 1 | remaining: 57501s    
step 00026 (0.2%) | loss: 2.452694 | lrm: 1.00 | dt: 6601ms | tok/sec: 19,857 | mfu: 10.2% | epoch: 1 | remaining: 57495s    
step 00027 (0.2%) | loss: 2.389243 | lrm: 1.00 | dt: 6576ms | tok/sec: 19,932 | mfu: 10.2% | epoch: 1 | remaining: 57488s    
step 00028 (0.2%) | loss: 2.342625 | lrm: 1.00 | dt: 6584ms | tok/sec: 19,906 | mfu: 10.2% | epoch: 1 | remaining: 57482s    
step 00029 (0.2%) | loss: 2.302161 | lrm: 1.00 | dt: 6584ms | tok/sec: 19,908 | mfu: 10.2% | epoch: 1 | remaining: 57475s    
step 00030 (0.2%) | loss: 2.259618 | lrm: 1.00 | dt: 6576ms | tok/sec: 19,933 | mfu: 10.2% | epoch: 1 | remaining: 57468s    
step 00031 (0.2%) | loss: 2.218969 | lrm: 1.00 | dt: 6588ms | tok/sec: 19,894 | mfu: 10.2% | epoch: 1 | remaining: 57462s    
step 00032 (0.2%) | loss: 2.176635 | lrm: 1.00 | dt: 6578ms | tok/sec: 19,926 | mfu: 10.2% | epoch: 1 | remaining: 57455s    
step 00033 (0.3%) | loss: 2.131313 | lrm: 1.00 | dt: 6578ms | tok/sec: 19,927 | mfu: 10.2% | epoch: 1 | remaining: 57449s    
step 00034 (0.3%) | loss: 2.116275 | lrm: 1.00 | dt: 6563ms | tok/sec: 19,970 | mfu: 10.2% | epoch: 1 | remaining: 57442s    
step 00035 (0.3%) | loss: 2.061350 | lrm: 1.00 | dt: 6587ms | tok/sec: 19,899 | mfu: 10.2% | epoch: 1 | remaining: 57436s    
step 00036 (0.3%) | loss: 2.023852 | lrm: 1.00 | dt: 6577ms | tok/sec: 19,929 | mfu: 10.2% | epoch: 1 | remaining: 57429s    
step 00037 (0.3%) | loss: 1.982133 | lrm: 1.00 | dt: 6569ms | tok/sec: 19,953 | mfu: 10.2% | epoch: 1 | remaining: 57422s    
step 00038 (0.3%) | loss: 1.939705 | lrm: 1.00 | dt: 6592ms | tok/sec: 19,882 | mfu: 10.2% | epoch: 1 | remaining: 57416s    
step 00039 (0.3%) | loss: 1.916977 | lrm: 1.00 | dt: 6594ms | tok/sec: 19,878 | mfu: 10.2% | epoch: 1 | remaining: 57409s    
step 00040 (0.3%) | loss: 1.888241 | lrm: 1.00 | dt: 6570ms | tok/sec: 19,951 | mfu: 10.2% | epoch: 1 | remaining: 57403s    
step 00041 (0.3%) | loss: 1.853852 | lrm: 1.00 | dt: 6586ms | tok/sec: 19,902 | mfu: 10.2% | epoch: 1 | remaining: 57396s    
step 00042 (0.4%) | loss: 1.819332 | lrm: 1.00 | dt: 6580ms | tok/sec: 19,918 | mfu: 10.2% | epoch: 1 | remaining: 57389s    
